clue_numbers,solving_time_ms,backtrack_count,propagation_count
584691732196732485237485691758914326623857914419326857375148269841269573962573148,80,0.010,0,0
471839526562147389398256417246713895137985264859624173925461738614378952783592641,80,0.007,0,0
913468275648752319572193846136845927485279631729316584857921463291634758364587192,80,0.011,0,0
325798146641235879978461523162357498894612735537984261213579684486123957759846312,80,0.006,0,0
872194536653287419941365728367428951284519673195736842429651387516873294738942165,80,0.009,0,0
371584296926371854584926731452697318697138542138452967763815429815249673249763185,80,0.014,0,0
269487351487153962153269784872534196534691278691872435348915627915726843726348519,80,0.009,0,0
453978612978216354216453879641395728395827146827641593134589267762134985589762431,80,0.007,0,0
865143927297586341431729685149672853726358419583914276912867534678435192354291768,80,0.007,0,0
527349816681725439943186275235914768419678352876532194392461587164857923758293641,80,0.008,0,0
245176983761398245983524761526817394178439526394652178657981432819243657432765819,80,0.009,0,0
435786192876291543921345687692413758587962314143857269214538976358679421769124835,80,0.008,0,0
931824756428675391576139248652791483197348562843256917264517839389462175715983624,80,0.008,0,0
781654239239781654654239781547396812812547396396812547123478965478965123965123478,80,0.007,0,0
362789451879145326415632897723918645198564732654273189581426973246397518937851264,80,0.007,0,0
849715263175623849263489175526834917917256384384197526491572638638941752752368491,80,0.010,0,0
975841236148362957263579184824693571517428369396715842781234695432956718659187423,80,0.020,0,0
591846237846732195732591648427315869315968724968427513253189476189674352674253981,80,0.007,0,0
632845197719236485548917326185793264426581973397624851864159732951372648273468519,80,0.009,0,0
536149872827356491419287563268935147174628359395714286781562934652493718943871625,80,0.021,0,0
562871493187934562493625187246587319319462758758193246825719634634258971971346825,80,0.009,0,0
856714329471392586239568741592687134768143952314925678625871493943256817187439265,80,0.017,0,0
387512946649873152251496783938257461725641839164389527872165394516934278493728615,80,0.008,0,0
567312948231894756489675123723481695148569372956237814672143589314958267895726431,80,0.009,0,0
182675439576943812349281756617459328238716594954832167721564983893127645465398271,80,0.007,0,0
459231867768594321123687954845129673376458219912763548591372486237846195684915732,80,0.006,0,0
436971825791285436825346791149752683572863149683419572964127358217538964358694217,80,0.010,0,0
389715624426398157751462983513276498894531762267849315942183576138657249675924831,80,0.006,0,0
825714369639285714174369285356428971248971536791536428967853142412697853583142697,80,0.007,0,0
689325714325417986417689523962531847531748269748962135293154678876293451154876392,80,0.014,0,0
529176843438259671716348952942561387651783294873492165195637428284915736367824519,80,0.008,0,0
162934785587216943349758261821369574475182396693547128236495817718623459954871632,80,0.008,0,0
751328694238694571964571328495713286826945713173286945547132869312869457689457132,80,0.009,0,0
419268375753914286862357941975142638241683597386579124538791462197426853624835719,80,0.027,0,0
186293547547186293293547186435871962871962435962435871758619324324758619619324758,80,0.007,0,0
936487152784251936152639784295376418418592673673814295569743821347128569821965347,80,0.023,0,0
645738291912564738387291564823915647159647382476382915561473829298156473734829156,80,0.015,0,0
182475693963821457547639812254967138318542976796183524825794361479316285631258749,80,0.006,0,0
415237869327689415869145327654713298173928654298564173531872946946351782782496531,80,0.010,0,0
923461785164758392857329416579132864231846957648975123485297631316584279792613548,80,0.007,0,0
174296853583741269629835714362584197917623548458179632291368475745912386836457921,80,0.006,0,0
795416328328759461461382795987645213654231987213978654839567142576124839142893576,80,0.006,0,0
465197832971328654283546719147839265398652471526714983632475198754981326819263547,80,0.008,0,0
487352169235619784961874532148237695723965841596481327359146278872593416614728953,80,0.009,0,0
172495368594683127386271549438716295259834671617952483943168752725349816861527934,80,0.010,0,0
215843976967512384348769251672351498153984627489276135896127543721435869534698712,80,0.010,0,0
418593627267841395935726148159237864684915732372468519746189253891352476523674981,80,0.007,0,0
524689713317452698896731425431265987789143256652978134965817342243596871178324569,80,0.006,0,0
619732485485619732732485619543968271271543968968271543894126357357894126126357894,80,0.009,0,0
738951264951624378624738591863175942175492683492863715346587129587219436219346857,80,0.006,0,0
871625493943187526256394781194768235687532914325419867568243179432971658719856342,80,0.009,0,0
675192843834756291219348657961234578587619432423875916392487165748561329156923784,80,0.008,0,0
957341628143628759826759341438962175269175834571834962714283596695417283382596417,80,0.007,0,0
589627314143589762627143958354968271968712435712354896495876123876231549231495687,80,0.008,0,0
387915642591264738426873159138596274659427813742381965874139526913652487265748391,80,0.006,0,0
839412576142567398657389421396248715571936284428751963714695832283174659965823147,80,0.050,0,0
462953187871246953539187246724569831318472569695831472256398714983714625147625398,80,0.007,0,0
497263581185749236632518794718924365249356817563871942971432658856197423324685179,80,0.007,0,0
263158749947236581185974362639825174471693258852417936526781493718349625394562817,80,0.011,0,0
769512483512384967384769215145893726627145398893627541431978652978256134256431879,80,0.010,0,0
637289514145736298982541763471623985326958147859174632518467329764392851293815476,80,0.009,0,0
894261357162537948735498621321759486648123579957846213513974862286315794479682135,80,0.020,0,0
763418295952763841418952376845296137296371584371845629589627413134589762627134958,80,0.006,0,0
542136798136897245897542631421368579368975124975421863689754312213689457754213986,80,0.006,0,0
125934867876251439493768152931647285764582913258319746312496578649875321587123694,80,0.006,0,0
692314875134875962785962314219743658473658129568129743826491537941537286357286491,80,0.007,0,0
146582793973461528258739416694158237327946185815273964782394651439615872561827349,80,0.009,0,0
