key,solving_time_ms,backtrack_count,propagation_count
80,0.00969230769230768,0.0,0.0
79,0.009107199999999977,0.0,0.0
78,0.009841599999999973,0.0,0.0
77,0.010119999999999975,0.0,0.0
76,0.009795199999999962,0.0,0.0
75,0.009908799999999971,0.0,0.0
74,0.00903359999999996,0.0,0.0
73,0.009628799999999974,0.0,0.0
72,0.009425599999999963,0.0,0.0
71,0.009051199999999981,0.0,0.0
70,0.008790399999999969,0.0,0.0
69,0.00963199999999997,0.0112,0.0544
68,0.009801599999999973,0.0,0.0
67,0.00965599999999997,0.0,0.0
66,0.00971359999999998,0.0,0.0
65,0.009177599999999984,0.0,0.0
64,0.008972799999999975,0.0368,0.1776
63,0.009119999999999986,0.0224,0.1088
62,0.00900959999999998,0.0224,0.0832
61,0.008628799999999968,0.1024,0.4464
60,0.008555199999999975,0.1072,0.544
59,0.008926399999999973,0.0688,0.3024
58,0.009911999999999971,0.1408,0.6752
57,0.009991999999999968,0.2096,1.0384
56,0.010142399999999963,0.2048,0.9312
55,0.010342399999999958,0.32,1.448
54,0.010283199999999972,0.2976,1.2752
53,0.01034559999999996,0.592,2.696
52,0.01075839999999996,0.8432,3.816
51,0.010622399999999964,0.8816,3.9024
50,0.011195199999999964,1.192,5.4608
49,0.011167999999999956,1.6128,7.5968
48,0.011051199999999964,1.4528,6.768
47,0.010313599999999978,1.9952,9.2144
46,0.010617599999999963,2.1184,9.904
45,0.011038399999999976,2.9664,14.0832
44,0.011740799999999989,3.736,18.8512
43,0.01174399999999999,4.3936,21.3616
42,0.01201439999999998,5.4368,27.5984
41,0.012060800000000009,6.4688,33.368
40,0.012668800000000001,8.6272,47.232
39,0.012921599999999995,9.7824,53.9552
38,0.013764799999999971,14.648,89.0528
37,0.013907199999999969,17.4512,108.4016
36,0.015220799999999965,26.5696,178.472
35,0.017475199999999944,44.0384,327.552
34,0.022619199999999937,76.2816,601.2256
33,0.02977439999999998,120.352,984.7456
32,0.039638400000000025,195.1712,1641.0496
31,0.06772959999999997,429.392,3737.1504
30,0.1095504000000001,738.5168,6500.9376
29,0.14257920000000018,974.8304,8607.9024
28,0.2144912000000001,1632.3232,14513.9648
27,0.4591919999999998,3465.0064,30993.6752
26,0.7060447999999995,5466.6832,48997.4608
25,1.0336896000000009,8065.8608,72381.2512
24,3.0211904000000005,24011.5808,215882.4448
23,11.8022416,90440.1984,813733.6752
22,12.4023808,101024.504,908984.7728
21,8.256412800000001,68192.536,613492.4656
20,53.176486399999995,410025.0864,3689979.6688
19,110.17297119999998,902533.688,8122551.5552
18,176.67424,1737413.216,15636461.1712
17,1427.9023968000001,6753904.9168,60784882.1488
